File name,Title,Author,Publication Year,Journal,Rank
Crous et al 2017 Persoonia 39 270-467.pdf, Fungal Planet description sheets: 625–715," P.W. Crous, M.J. Wingfield, T.I. Burgess, A.J. Carnegie, G.E.St.J. Hardy, D. Smith, B.A. Summerell, J.F. Cano-Lira, J. Guarro, J. Houbraken, L. Lombard, M.P. Martín, M. Sandoval-Denis, A.V. Alexandrova, C.W. Barnes, I.G. Baseia, J.D.P. Bezerra, V. Guarnaccia, T.W. May, M. Hernández-Restrepo, A.M. Stchigel, A.N. Miller, M.E. Ordoñez, V.P. Abreu, T. Accioly, C. Agnello, A. Agustin Colmán, C.C. Albuquerque, D.S. Alfredo, P. Alvarado, G.R. Araújo-Magalhães, S. Arauzo, T. Atkinson, A. Barili, R.W. Barreto, J.L. Bezerra, T.S. Cabral, F. Camello Rodríguez, R.H.S.F. Cruz, P.P. Daniëls, B.D.B. da Silva, D.A.C. de Almeida, A.A. de Carvalho Júnior, C.A. Decock, L. Delgat, S. Denman, R.A. Dimitrov, J. Edwards, A.G. Fedosova, R.J. Ferreira, A.L. Firmino, J.A. Flores, D. García, J. Gené, A. Giraldo, J.S. Góis, A.A.M. Gomes, C.M. Gonçalves, D.E. Gouliamova, M. Groenewald, B.V. Guéorguiev, M. Guevara-Suarez, L.F.P. Gusmão, K. Hosaka, V. Hubka, S.M. Huhndorf, M. Jadan, Ž. Jurjevi?, B. Kraak, V. Ku?era, T.K.A. Kumar, I. Kušan, S.R. Lacerda, S. Lamlertthon, W.S. Lisboa, M. Loizides, J.J. Luangsa-ard, P. Lysková, W.P. Mac Cormack, D.M. Macedo, A.R. Machado, E.F. Malysheva, P. Marinho, N. Mato?ec, M. Meijer, A. Meši?, S. Mongkolsamrit, K.A. Moreira, O.V. Morozova, K.U. Nair, N. Nakamura, W. Noisripoom, I. Olariaga, R.J.V. Oliveira, L.M. Paiva, P. Pawar, O.L. Pereira, S.W. Peterson, M. Prieto, E. Rodríguez-Andrade, C. Rojo De Blas, M. Roy, E.S. Santos, R. Sharma, G.A. Silva, C.M. Souza-Motta, Y. Takeuchi-Kaneko, C. Tanaka, A. Thakur, M.Th. Smith, Z. Tkal?ec, N. Valenzuela-Lopez, P. van der Kleij, A. Verbeken, M.G. Viana, X.W. Wang, J.Z. Groenewald",2017,Persoonia,0
Crous et al 2018 Persoonia 40 240-393.pdf, Fungal Planet description sheets: 716–784," P.W. Crous, M.J. Wingfield, T.I. Burgess, G.E.St.J. Hardy, J. Gené, J. Guarro, I.G. Baseia, D. García, L.F.P. Gusmão, C.M. Souza-Motta, R. Thangavel, S. Adam?ík, A. Barili, C.W. Barnes, J.D.P. Bezerra, J.J. Bordallo, J.F. Cano-Lira, R.J.V. de Oliveira, E. Ercole, V. Hubka, I. Iturrieta-González, A. Kubátová, M.P. Martín, P.-A. Moreau, A. Morte, M.E. Ordoñez, A. Rodríguez, A.M. Stchigel, A. Vizzini, J. Abdollahzadeh, V.P. Abreu, K. Adam?íková, G.M.R. Albuquerque, A.V. Alexandrova, E. Álvarez Duarte, C. Armstrong-Cho, S. Banniza, R.N. Barbosa, J.-M. Bellanger, J.L. Bezerra, T.S. Cabral, M. Cabo?, E. Caicedo, T. Cantillo, A.J. Carnegie, L.T. Carmo, R.F. Castañeda-Ruiz, C.R. Clement, A. ?moková, L.B. Conceição, R.H.S.F. Cruz, U. Damm, B.D.B. da Silva, G.A. da Silva, R.M.F. da Silva, A.L.C.M. de A. Santiago, L.F. de Oliveira, C.A.F. de Souza, F. Déniel, B. Dima, G. Dong, J. Edwards, C.R. Félix, J. Fournier, T.B. Gibertoni, K. Hosaka, T. Iturriaga, M. Jadan, J.-L. Jany, Ž. Jurjevi?, M. Kola?ík, I. Kušan, M.F. Landell, T.R. Leite Cordeiro, D.X. Lima, M. Loizides, S. Luo, A.R. Machado, H. Madrid, O.M.C. Magalhães, P. Marinho, N. Mato?ec, A. Meši?, A.N. Miller, O.V. Morozova, R.P. Neves, K. Nonaka, A. Nováková, N.H. Oberlies, J.R.C. Oliveira-Filho, T.G.L. Oliveira, V. Papp, O.L. Pereira, G. Perrone, S.W. Peterson, T.H.G. Pham, H.A. Raja, D.B. Raudabaugh, J. ?ehulka, E. Rodríguez-Andrade, M. Saba, A. Schauflerová, R.G. Shivas, G. Simonini, J.P.Z. Siqueira, J.O. Sousa, V. Stajsic, T. Svetasheva, Y.P. Tan, Z. Tkal?ec, S. Ullah, P. Valente, N. Valenzuela-Lopez, M. Abrinbana, D.A. Viana Marques, P.T.W. Wong, V. Xavier de Lima, J.Z. Groenewald",2018,Persoonia,0
Crous et al 2018 Persoonia 41 238-417.pdf, Fungal Planet description sheets: 785– 867," P.W. Crous, J.J. Luangsa-ard, M.J. Wingfield, A.J. Carnegie, M. Hernández-Restrepo, L. Lombard, J. Roux, R.W. Barreto, I.G. Baseia, J.F. Cano-Lira, M.P. Martín, O.V. Morozova, A.M. Stchigel, B.A. Summerell, T.E. Brandrud, B. Dima, D. García, A. Giraldo, J. Guarro, L.F.P. Gusmão, P. Khamsuntorn, M.E. Noordeloos, S. Nuankaew, U. Pinruan, E. Rodríguez-Andrade, C.M. Souza-Motta, R. Thangavel, A.L. van Iperen, V.P. Abreu, T. Accioly, J.L. Alves, J.P. Andrade, M. Bahram, H.-O. Baral, E. Barbier, C.W. Barnes, E. Bendiksen, E. Bernard, J.D.P. Bezerra, J.L. Bezerra, E. Bizio, J.E. Blair, T.M. Bulyonkova, T.S. Cabral, M.V. Caiafa, T. Cantillo, A.A. Colmán, L.B. Conceição, S. Cruz, A.O.B. Cunha, B.A. Darveaux, A.L. da Silva, G.A. da Silva, G.M. da Silva, R.M.F. da Silva, R.J.V. de Oliveira, R.L. Oliveira, J.T. De Souza, M. Dueñas, H.C. Evans, F. Epifani, M.T.C. Felipe, J. Fernández-López, B.W. Ferreira, C.N. Figueiredo, N.V. Filippova, J.A. Flores, J. Gené, G. Ghorbani, T.B. Gibertoni, A.M. Glushakova, R. Healy, S.M. Huhndorf, I. Iturrieta-González, M. Javan-Nikkhah, R.F. Juciano, Ž. Jurjevi?, A.V. Kachalkin, K. Keochanpheng, I. Krisai-Greilhuber, Y.-C. Li, A.A. Lima, A.R. Machado, H. Madrid, O.M.C. Magalhães, P.A.S. Marbach, G.C.S. Melanda, A.N. Miller, S. Mongkolsamrit, R.P. Nascimento, T.G.L. Oliveira, M.E. Ordoñez, R. Orzes, M.A. Palma, C.J. Pearce, O.L. Pereira, G. Perrone, S.W. Peterson, T.H.G. Pham, E. Piontelli, A. Pordel, L. Quijada, H.A. Raja, E. Rosas de Paz, L. Ryvarden, A. Saitta, S.S. Salcedo, M. Sandoval-Denis, T.A.B. Santos, K.A. Seifert, B.D.B. Silva, M.E. Smith, A.M. Soares, S. Sommai, J.O. Sousa, S. Suetrong, A. Susca, L. Tedersoo, M.T. Telleria, D. Thanakitpipattana, N. Valenzuela-Lopez, C.M. Visagie, M. Zapata, J.Z. Groenewald",2018,Persoonia,0
Crous et al 2019 Persoonia 42 291-473.pdf, Fungal Planet description sheets: 868–950," P.W. Crous, A.J. Carnegie, M.J. Wingfield, R. Sharma, G. Mughini, M.E. Noordeloos, A. Santini, Y.S. Shouche, J.D.P. Bezerra, B. Dima, V. Guarnaccia, I. Imrefi, Ž. Jurjevi?, D.G. Knapp, G.M. Kovács, D. Magistà, G. Perrone, T. Rämä, Y.A. Rebriev, R.G. Shivas, S.M. Singh, C.M. Souza-Motta, R. Thangavel, N.N. Adhapure, A.V. Alexandrova, A.C. Alfenas, R.F. Alfenas, P. Alvarado, A.L. Alves, D.A. Andrade, J.P. Andrade, R.N. Barbosa, A. Barili, C.W. Barnes, I.G. Baseia, J.-M. Bellanger, C. Berlanas, A.E. Bessette, A.R. Bessette, A.Yu. Biketova, F.S. Bomfim, T.E. Brandrud, K. Bransgrove, A.C.Q. Brito, J.F. Cano-Lira, T. Cantillo, A.D. Cavalcanti, R. Cheewangkoon, R.S. Chikowski, C. Conforto, T.R.L. Cordeiro, J.D. Craine, R. Cruz, U. Damm, R.J.V. de Oliveira, J.T. de Souza, H.G. de Souza, J.D.W. Dearnaley, R.A. Dimitrov, F. Dovana, A. Erhard, F. Esteve- Raventós, C.R. Félix, G. Ferisin, R.A. Fernandes, R.J. Ferreira, L.O. Ferro, C.N. Figueiredo, J.L. Frank, K.T.L.S. Freire, D. García, J. Gené, A. G?siorska, T.B. Gibertoni, R.A.G. Gondra, D.E. Gouliamova, D. Gramaje, F. Guard, L.F.P. Gusmão, S. Haitook, Y. Hirooka, J. Houbraken, V. Hubka, A. Inamdar, T. Iturriaga, I. Iturrieta-González, M. Jadan, N. Jiang, A. Justo, A.V. Kachal­kin, V.I. Kapitonov, M. Karadelev, J. Karakehian, T. Kasuya, I. Kautmanová, J. Kruse, I. Kušan, T.A. Kuznetsova, M.F. Landell, K.-H. Larsson, H.B. Lee, D.X. Lima, C.R.S. Lira, A.R. Machado, H. Madrid, O.M.C. Magalhães, H. Majerova, E.F. Malysheva, R.R. Mapperson, P.A.S. Marbach, M.P. Martín, A. Martín-Sanz, N. Mato?ec, A.R. McTaggart, J.F. Mello, R.F.R. Melo, A. Meši?, S.J. Michereff, A.N. Miller, A. Minoshima, L. Molinero-Ruiz, O.V. Morozova, D. Mosoh, M. Nabe, R. Naik, K. Nara, S.S. Nascimento, R.P. Neves, I. Olariaga, R.L. Oliveira, T.G.L. Oliveira, T. Ono, M.E. Ordoñez, A. de M. Ottoni, L.M. Paiva, F. Pancorbo, B. Pant, J. Paw?owska, S.W. Peterson, D.B. Raudabaugh, E. Rodríguez-Andrade, E. Rubio, K. Rusevska, A.L.C.M.A. Santiago, A.C.S. Santos, C. Santos, N.A. Sazanova, S. Shah, J. Sharma, B.D.B. Silva, J.L. Siquier, M.S. Sonawane, A.M. Stchigel, T. Svetasheva, N. Tamakeaw, M.T. Telleria, P.V. Tiago, C.M. Tian, Z. Tkal?ec, M.A. Tomashevskaya, H.H. Truong, M.V. Vecherskii, C.M. Visagie, A. Vizzini, N. Yilmaz, I.V. Zmitrovich, E.A. Zvyagina, T. Boekhout, T. Kehlet, T. Læssøe, J.Z. Groenewald",2019,Persoonia,0
Crous et al 2020 Persoonia 44 301-459.pdf, Fungal Planet description sheets: 1042–1111," P.W. Crous, M.J. Wingfield, Y.-H. Chooi, C.L.M. Gilchrist, E. Lacey, J.I. Pitt, F. Roets, W.J. Swart, J.F. Cano-Lira, N. Valenzuela-Lopez, V. Hubka, R.G. Shivas, A.M. Stchigel, D.G. Holdom, Ž. Jurjević, A.V. Kachalkin, T. Lebel, C. Lock, M.P. Martín, Y.P. Tan, M.A. Tomashevskaya, J.S. Vitelli, I.G. Baseia, V.K. Bhatt, T.E. Brandrud, J.T. De Souza, B. Dima, H.J. Lacey, L. Lombard, P.R. Johnston, A. Morte, V. Papp, A. Rodríguez, E. Rodríguez-Andrade, K.C. Semwal, L. Tegart, Z.G. Abad, A. Akulov, P. Alvarado, A. Alves, J.P. Andrade, F. Arenas, C. Asenjo, J. Ballarà, M.D. Barrett, L.M. Berná, A. Berraf-Tebbal, M.V. Bianchinotti, K. Bransgrove, T.I. Burgess, F.S. Carmo, R. Chávez, A. ?moková, J.D.W. Dearnaley, A.L.C.M. de A. Santiago, J.F. Freitas-Neto, S. Denman, B. Douglas, F. Dovana, A. Eichmeier, F. Esteve-Raventós, A. Farid, A.G. Fedosova, G. Ferisin, R.J. Ferreira, A. Ferrer, C.N. Figueiredo, Y.F. Figueiredo, C.G. Reinoso-Fuentealba, I. Garrido-Benavent, C.F. Cañete-Gibas, C. Gil-Durán, A.M. Glushakova, M.F.M. Gonçalves, M. González, M. Gorczak, C. Gorton, F.E. Guard, A.L. Guarnizo, J. Guarro, M. Gutiérrez, P. Hamal, L.T. Hien, A.D. Hocking, J. Houbraken, G.C. Hunter, C.A. Inácio, M. Jourdan, V.I. Kapitonov, L. Kelly, T.N. Khanh, K. Kis?o, L. Kiss, A. Kiyashko, M. Kola?ík, J. Kruse, A. Kubátová, V. Ku?era, I. Ku?erová, I. Kušan, H.B. Lee, G. Levicán, A. Lewis, N.V. Liem, K. Liimatainen, H.J. Lim, M.N. Lyons, J.G. Maciá-Vicente, V. Magaña-Dueñas, R. Mahiques, E.F. Malysheva, P.A.S. Marbach, P. Marinho, N. Mato?ec, A.R. McTaggart, A. Meši?, L. Morin, J.M. Muñoz-Mohedano, A. Navarro-Ródenas, C.P. Nicolli, R.L. Oliveira, E. Otsing, C.L. Ovrebo, T.A. Pankratov, A. Paños, A. Paz-Conde, A. Pérez-Sierra, C. Phosri, Á. Pintos, A. Pošta, S. Prencipe, E. Rubio, A. Saitta, L.S. Sales, L. Sanhueza, L.A. Shuttleworth, J. Smith, M.E. Smith, D. Spadaro, M. Spetik, M. Sochor, Z. Sochorová, J.O. Sousa, N. Suwannasai, L. Tedersoo, H.M. Thanh, L.D. Thao, Z. Tkal?ec, N. Vaghefi, A.S. Venzhik, A. Verbeken, A. Vizzini, S. Voyron, M. Wainhouse, A.J.S. Whalley, M. Wrzosek, M. Zapata, I. Zeil-Rolfe, J.Z. Groenewald",2020,Persoonia,0
Crous et al 2023 Persoonia 50 158-310.pdf, Fungal Planet description sheets: 1478–1549," P.W. Crous, E.R. Osieck, R.G. Shivas, Y.P. Tan, S.L. Bishop-Hurley, F. Esteve-Raventós, E. Larsson, J.J. Luangsa-ard, F. Pancorbo, S. Balashov, I.G. Baseia, T. Boekhout, S. Chandranayaka, D.A. Cowan, R.H.S.F. Cruz, P. Czachura, S. De la Peña-Lastra, F. Dovana, B. Drury, J. Fell, A. Flakus, R. Fotedar, Ž. Jurjevi?, A. Kolecka, J. Mack, G. Maggs-Kölling, S. Mahadevakumar, A. Mateos, S. Mongkolsamrit, W. Noisripoom, M. Plaza, D.P. Overy, M. Pi?tek, M. Sandoval-Denis, J. Vauras, M.J. Wingfield, S.E. Abell, A. Ahmadpour, A. Akulov, F. Alavi, Z. Alavi, A. Altés, P. Alvarado, G. Anand, N. Ashtekar, B. Assyov, G. Banc-Prandi, K.D. Barbosa, G.G. Barreto, J.-M. Bellanger, J.L. Bezerra, D.J. Bhat, P. Bila?ski, T. Bose, F. Bozok, J. Chaves, D.H. Costa-Rezende, C. Danteswari, V. Darmostuk, G. Delgado, S. Denman, A. Eichmeier, J. Etayo, G. Eyssartier, S. Faulwetter, K.G.G. Ganga, Y. Ghosta, J. Goh, J.S. Góis, D. Gramaje, L. Granit, M. Groenewald, G. Gulden, L.F.P. Gusmão, A. Hammerbacher, Z. Heidarian, N. Hywel-Jones, R. Jankowiak, M. Kaliyaperumal, O. Kaygusuz, K. Kezo, A. Khonsanit, S. Kumar, C.H. Kuo, T. Læssøe, K.P.D. Latha, M. Loizides, S.M. Luo, J.G. Maciá-Vicente, P. Manimohan, P.A.S. Marbach, P. Marinho, T.S. Marney, G. Marques, M.P. Martín, A.N. Miller, F. Mondello, G. Moreno, K.T. Mufeeda, H.Y. Mun, T. Nau, T. Nkomo, A. Okrasi?ska, J.P.A.F. Oliveira, R.L. Oliveira, D.A. Ortiz, J. Paw?owska, M.À. Pérez-De-Gregorio, A.R. Podile, A. Portugal, N. Privitera, K.C. Rajeshkumar, I. Rauf, B. Rian, A. Rigueiro-Rodríguez, G.F. Rivas- Torres, P. Rodriguez-Flakus, M. Romero-Gordillo, I. Saar, M. Saba, C.D. Santos, P.V.S.R.N. Sarma, J.L. Siquier, S. Sleiman, M. Spetik, K.R. Sridhar, M. Stryjak-Bogacka, K. Szczepa?ska, H. Ta?k?n, D.S. Tennakoon, D. Thanakitpipattana, J. Trovão, ?. Türkekul, A.L. van Iperen, P. van 't Hof, G. Vasquez, C.M. Visagie, B.D. Wingfield, P.T.W. Wong, W.X. Yang, M. Yarar, O. Yarden, N. Yilmaz, N. Zhang, Y.N. Zhu, J.Z. Groenewald",2023,Persoonia,0
Dictionary of Fungi feb2010 (2).pdf,Dictionary of Fungi,,2010,,0
Dijksterhuis 2019 Food Microbiology 81 2-11.pdf, Fungal spores: Highly variable and stress-resistant vehicles for distribution and spoilage, Jan Dijksterhuis,2019,Food Microbiology 81 (2019) 2–11,1
Dijksterhuis 2107 1-s2.0-S2214799317301236-main.pdf,The fungal spore and food spoilage,Jan Dijksterhuis,2017,"Current Opinion in Food Science 2017, 17:68–74",0
Dijksterhuis en Teunissen 2004 J Appl Microbiol 96 1 162-169.pdf, Dormant ascospores of Talaromyces macrosporus are activated to germinate after treatment with ultra high pressure," J. Dijksterhuis,and P.G.M. Teunissen",2004,"Journal of Applied Microbiology 2004, 96, 162–169",0
Dijksterhuis et al 2002 Arch Microbiol 178.pdf, Trehalose degradation and glucose efflux precede cell ejection during germination of heat-resistant ascospores of Talaromyces macrosporus,"Jan Dijksterhuis, Kenneth G. A. van Driel, Mark G. Sanders, Douwe Molenaar, Jos A. M. P. Houbraken, Rob A. Samson, Edwin P. W. Kets",2002,Arch Microbiol (2002) 178 :1–7,0
Dijksterhuis et al 2013 The Mycota 11 35-56.pdf,Fungal Spoilage of Crops and Food,"JAN DIJKSTERHUIS, JOS HOUBRAKEN, ROBERT A. SAMSON",2013,The Mycota 11 35-56,0
Dijksterhuis et al 2018 Int J Food Microbiol 285 27-33.pdf,Inactivation of stress-resistant ascospores of Eurotiales by industrial sanitizers,"Jan Dijksterhuisa, Martin Meijera, Tineke van Doorna, Rob Samsona, Emilia Rico-Munozb",2018,International Journal of Food Microbiology 285 (2018) 27–33,0
Dijksterhuis et al 2019 Int J Food Microbiol 306 108258.pdf, The preservative propionic acid differentially affects survival of conidia and germ tubes of feed spoilage fungi," Jan Dijksterhuisa, Martin Meijera, Tineke van Doorna, Jos Houbrakena, Paul Bruinenbergb",2019,International Journal of Food Microbiology 306 (2019) 108258,0
Dijksterhuis et al 2024 Int J Food Microbiol 422 110802.pdf," Synergistic antifungal effects of the preservative ammonium propionate and medium chain fatty acids against dormant and germinating conidia, germ tubes and hyphae of Aspergillus chevalieri, a feed spoilage fungus"," Jan Dijksterhuisa, Pim Kleinhovenb, Sandra van Kuijkb, Anouk H.G. Woltersc, Paul G. Bruinenbergd",2024,International Journal of Food Microbiology 422 (2024) 110802,0
Dijksterhuis Houbraken Chapter The Mycota 2025.pdf,Fungal Spoilage of Crops and Food,Jan Dijksterhuis and Jos Houbraken,2025,The Mycota 2025,1
ELKE VAN NIEUWENHUIJZEN THESIS 20180815.pdf,A study of natural fungal-based wood finishes,Elke Janna van Nieuwenhuijzen,2018,PhD thesis,0
Frisvad et al 1990 Persoonia 14 177-182.pdf,"A new species of penicillium, P. scabrosum",Frisvad et al,1990,Persoonia,0
Frisvad et al 1990 Persoonia 14 209-232.pdf,Disposition of recently described species of penicillium,Frisvad et al.,1990,Persoonia,0
Frisvad et al 2006 Adv. Food Mycology 33-46.pdf, RECOMMENDATIONS CONCERNING THE CHRONIC PROBLEM OF  MISIDENTIFICATION OF  MYCOTOXIGENIC FUNGI ASSOCIATED WITH FOODS AND FEEDS,"Jens C. Frisvad, Kristian F. Nielsen and Robert A. Samson",2006,Adv. Food Mycology,0
Frisvad Samson Syst. Appl. Microbiol. 27 2004.pdf,"Emericella venezuelensis, a New Species With Stellate Ascospores Producing Sterigmatocystin and Aflatoxin B1",Jens C. Frisvad and Robert A. Samson,2004,"System. Appl. Microbiol. 27, 672–680 (2004)",0
Gams 1978 Persoonia 10 97-112.pdf,Connected and disconnected chains of phialoconidia and sagenomella gen. nov. segregrated from acremonium,Gams,1978,Persoonia,0
Gams et al 1984 Persoonia 12 135-147.pdf,The hyphomycete genus engyodontium a link between verticillium and aphanocladium,Gams et al.,1984,Persoonia,0
